;ipca;expfocus;crb;hiato;des;credibilidade;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;d11;selic;dcambio;tjlp_cdb;exprac;ipcacheio
fev/07;0,59;0,3;2,692101895;-2,497339176;11,83846642;-0,25;0;1;0;0;0;0;0;0;0;0;0;12,93;-0,0422;-12,08846642;0,501716341;0,44
mar/07;0,44;0,29;0,681648751;1,638957734;11,78576914;-0,244912513;0;0;1;0;0;0;0;0;0;0;0;12,74;-0,0076;-12,03068165;0,508733297;0,37
abr/07;0,19;0,21;0,220791663;-0,223475084;11,56185955;-0,25;0;0;0;1;0;0;0;0;0;0;0;12,58;-0,0567;-11,81185955;0,512556378;0,25
mai/07;0,25;0,14;-2,7970774;0,907102021;11,43550553;-0,25;0;0;0;0;1;0;0;0;0;0;0;12,43;-0,0504;-11,68550553;0,472268528;0,28
jun/07;0,43;0,2;0,99156807;0,220356592;11,28536702;-0,25;0;0;0;0;0;1;0;0;0;0;0;12,03;-0,0497;-11,53536702;0,498153537;0,28
jul/07;0,45;0,22;-0,959430631;1,971957193;11,25294946;-0,25;0;0;0;0;0;0;1;0;0;0;0;11,73;-0,0491;-11,50294946;0,472625398;0,24
ago/07;0,62;0,24;2,837696669;2,233761242;11,6501519;-0,25;0;0;0;0;0;0;0;1;0;0;0;11,43;0,0832;-11,9001519;0,9813886;0,47
set/07;0,28;0,28;-3,366459711;0,092840982;12,34788628;-0,25;0;0;0;0;0;0;0;0;1;0;0;11,22;-0,0664;-12,59788628;0,605115696;0,18
out/07;0,41;0,29;-5,492156973;1,997155176;12,83924747;-0,25;0;0;0;0;0;0;0;0;0;1;0;11,18;-0,0986;-13,08924747;0,538029856;0,3
nov/07;0,43;0,34;1,62529419;0,743551088;13,23910678;-0,25;0;0;0;0;0;0;0;0;0;0;1;11,18;-0,0311;-13,48910678;0,639405759;0,38
dez/07;0,98;0,45;-0,75040286;-0,593051555;13,96367354;-0,25;0;0;0;0;0;0;0;0;0;0;0;11,18;0,0161;-14,21367354;1,018254505;0,74
jan/08;0,69;0,51;2,619501813;-0,92225975;14,08066103;-0,25;1;0;0;0;0;0;0;0;0;0;0;11,18;-0,0117;-14,33066103;0,593691919;0,54
fev/08;0,66;0,35;4,998358984;-1,027990366;14,24596038;-0,25;0;1;0;0;0;0;0;0;0;0;0;11,18;-0,0466;-14,49596038;0,534146299;0,49
mar/08;0,48;0,32;-0,170046915;1,303014719;14,5792109;-0,198916;0;0;1;0;0;0;0;0;0;0;0;11,18;-0,0201;-14,7781269;0,632868303;0,48
abr/08;0,72;0,32;0,650897395;1,349851394;14,53154432;-0,115168657;0;0;0;1;0;0;0;0;0;0;0;11,37;-0,0187;-14,64671298;0,704749068;0,55
mai/08;1,02;0,33;-6,278543803;1,046489255;15,10456544;-0,051094835;0;0;0;0;1;0;0;0;0;0;0;11,63;-0,0284;-15,15566028;0,980205106;0,79
jun/08;0,96;0,44;2,131396311;1,49280896;15,69260343;-0,004734751;0;0;0;0;0;1;0;0;0;0;0;12,09;-0,0416;-15,69733818;0,945757703;0,74
jul/08;0,5;0,45;-5,080296267;3,314166736;16,35848455;0;0;0;0;0;0;0;1;0;0;0;0;12,36;-0,0275;-16,35848455;0,714123306;0,53
ago/08;0,25;0,35;-0,450842567;2,351011341;15,93686337;0;0;0;0;0;0;0;0;1;0;0;0;12,92;0,0209;-15,93686337;0,267043473;0,28
set/08;0,3;0,39;10,15760557;1,829519354;15,98195706;0;0;0;0;0;0;0;0;0;1;0;0;13,39;0,1873;-15,98195706;0,815393129;0,26
out/08;0,54;0,48;-8,262194858;1,78781904;16,40871139;0;0;0;0;0;0;0;0;0;0;1;0;13,66;0,3733;-16,40871139;0,94299185;0,45
nov/08;0,44;0,59;3,860093334;-1,094862297;16,31196687;0;0;0;0;0;0;0;0;0;0;0;1;13,64;0,0934;-16,31196687;0,234702211;0,36
dez/08;0,28;0,51;-2,158698458;-3,230797174;15,87572919;0;0;0;0;0;0;0;0;0;0;0;0;13,66;0,1281;-15,87572919;0,414466036;0,28
jan/09;0,37;0,51;1,038191821;-4,715549506;15,13722753;0;1;0;0;0;0;0;0;0;0;0;0;13,32;-0,087;-15,13722753;0,533697131;0,48
